uki.zamow,Zleceniobiorca,Priorytet,Wytłaczarka,,Automaty,Numer zlecenia,Zleceniodawca,Nazwa wyrobu gotowego,Wymiar wyrobu gotowego,Ilość kg/szt/mb,Wytłaczarka NR1,Wytłaczarka NR2,Barwnik,Jonizacja,Tworzywo,Całkowita szerokość rękawa,Zakładka boczna,Grubość,Rodzaj wyrobu,Nawój na wałek (jaki/ile),UWAGI,DRUKARNIA,Szerokość,Wysokość,Zakładka denna,Zrywka/Klapka,Zgrzew,Parametry dodatkowe,Zrywka,Perforacja,Pakowanie (szt.paczek/szt.zbiorowych),Podliczone?,Usun-inator,Akcja 1 copy,Akcja 2 copy,Akcja 3 copy
2025-12-18 12:50:38,BC,,,,,BC 2/30/12,Pamar Niedbalski,Worek PP,270x330/30+40   + ścięte rogi,2 x po 28 tyś,,,,,PP 760    265 kg,,,,,,,Niedbalski Hubertus 28 tyś i Gryczanin 28 tyś,270,330,30,40,Zgrzew boczny,,Druty,,Karton,,FALSE,9,9,9
2025-12-18 13:03:56,BC,,,,,BC 3/30/12,Pamar / Ma Trans,Worek PP,200x400/30+40,60 tyś   250 kg,,,,,PP 900,,,,,,,Ma Trans Kawiorek,200,400,30,40,Zgrzew boczny,,Druty,,Karton,,FALSE,9,9,9
2025-12-18 13:16:21,BC,,,,,BC 4/30/12,Pamar / Ma Trans,Worek PP,160x260/30,60 tyś  133 kg,,,,,PP 600,,,,,,,Ma Trans Bułka Tarta,160,260,30,,Zgrzew boczny,,,,Karton,,FALSE,9,9,9
2025-12-23 11:17:10,BC,,,,,BC 5/30/12,Pamar,Worek PP,220x380/30+40,6600 szt    29 kg,,,,,PP 860,,,,,,,,220,380,30,40,Zgrzew boczny,,Klipsy,,3300 szt,,FALSE,9,9,9
2025-12-23 11:20:17,BC,,,,,BC 6/30/12,Ewa Pak,Worek PP,205x330/30+40,30 tyś    110 kg,,,,,PP 760,,,,,,,Żelek Żytni Razowy 400 g,205,330,30,40,Zgrzew boczny,,Druty,,arkusz 1500.,,FALSE,9,9,9
2025-12-30 10:06:58,BC,,,,,BC 7/30/12,Niedbalski,Worek PP,230x380/30+40 + ścięte rogi,130 tyś  600 kg,,,,,PP 860,,,,,,,Niedbalski Baltonowski 500 g,230 (ścięte rogi),380,30,40,Zgrzew boczny,,Druty,,Karton,,FALSE,9,9,9
2025-12-30 10:11:28,BC,,,,,BC 8/30/12,Pasoń,Worek PP,250x360/30+40,50 tyś   250 kg,,,,,PP 900,,,,,,,Pasoń Tygrysi Wieloziarnisty,250,360,30,40,Zgrzew boczny,,Druty,,Karton,,FALSE,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
